LLM,Alignment,Precision,Recall,F1
gpt-4o-2024-05-13,conference/cmt-conference/component/llm_with_agent,62.50,33.33,43.48
gpt-3.5-turbo-0125,anatomy/mouse-human-suite/component/source_no_validation,50.27,92.94,65.25
gpt-3.5-turbo-0125,anatomy/mouse-human-suite/component/source,67.60,91.95,77.92
gpt-3.5-turbo-0125,anatomy/mouse-human-suite/component/target_no_validation,50.37,94.33,65.67
gpt-3.5-turbo-0125,anatomy/mouse-human-suite/component/target,69.94,92.68,79.72
gpt-3.5-turbo-0125,anatomy/mouse-human-suite/component/no_validation,89.69,90.70,90.19
gpt-3.5-turbo-0125,anatomy/mouse-human-suite/component/llm_with_agent,93.72,88.65,91.12
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/source_no_validation,49.04,93.87,64.42
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/source,84.20,91.42,87.67
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/target_no_validation,46.45,94.85,62.36
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/target,85.81,91.75,88.68
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/no_validation,89.16,91.16,90.15
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/llm_with_agent,96.46,88.13,92.11
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/llm_with_agent_filter,89.59,69.11,78.03
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/source_no_validation,47.07,92.35,62.36
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/source,75.84,91.29,82.85
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/target_no_validation,38.02,93.54,54.06
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/target,79.47,91.69,85.15
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/no_validation,88.82,89.58,89.20
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/llm_with_agent,95.61,87.66,91.47
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/llm_with_agent_filter,87.05,68.06,76.40
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/source_no_validation,48.69,92.28,63.75
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/source,67.99,91.75,78.10
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/target_no_validation,43.36,93.54,59.26
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/target,68.66,91.75,78.54
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/no_validation,88.09,89.31,88.70
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/llm_with_agent,93.17,88.19,90.61
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/llm_with_agent_filter,80.69,69.28,74.55
mistral-small-2402,anatomy/mouse-human-suite/component/source_no_validation,47.60,91.49,62.62
mistral-small-2402,anatomy/mouse-human-suite/component/source,73.10,90.90,81.03
mistral-small-2402,anatomy/mouse-human-suite/component/target_no_validation,47.53,93.21,62.95
mistral-small-2402,anatomy/mouse-human-suite/component/target,75.39,91.75,82.77
mistral-small-2402,anatomy/mouse-human-suite/component/no_validation,87.41,88.85,88.13
mistral-small-2402,anatomy/mouse-human-suite/component/llm_with_agent,94.48,88.13,91.19
mistral-small-2402,anatomy/mouse-human-suite/component/llm_with_agent_filter,84.11,69.28,75.98
